sensor_id,plant_location,timestamp,reading_value
S-101,Menlo Park,2026-08-01T06:00:00,72.4
S-101,Menlo Park,2026-08-01T07:00:00,73.1
S-101,Menlo Park,2026-08-01T08:00:00,74.8
S-102,Shanghai,2026-08-01T06:00:00,68.9
S-102,Shanghai,2026-08-01T07:00:00,,
S-102,Shanghai,2026-08-01T08:00:00,69.5
S-103,Menlo Park,2026-08-01T06:00:00,81.2
S-103,Menlo Park,2026-08-01T07:00:00,82.0
S-103,Menlo Park,2026-08-01T08:00:00,80.7
S-104,Shanghai,2026-08-01T06:00:00,55.0
S-104,Shanghai,2026-08-01T07:00:00,54.6
S-104,Shanghai,2026-08-01T08:00:00,300.0
S-101,Menlo Park,2026-08-01T09:00:00,75.0
S-102,Shanghai,2026-08-01T09:00:00,70.1
S-103,Menlo Park,2026-08-01T09:00:00,83.4
S-104,Shanghai,2026-08-01T09:00:00,55.2
